Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0008,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
24,0.001,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
27,0.001,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
30,0.001,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00121,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00141,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00154,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00169,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00187,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00212,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00238,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00265,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0029,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00312,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00328,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00346,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00368,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00392,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00419,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00449,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00484,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00523,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00568,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00617,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00673,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00737,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00809,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00891,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00984,,,,,,,,,,,,,,,,,,,,,,,,
59,0.01091,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01213,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01353,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0151,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01682,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01872,,,,,,,,,,,,,,,,,,,,,,,,
65,0.02079,,,,,,,,,,,,,,,,,,,,,,,,
66,0.02298,,,,,,,,,,,,,,,,,,,,,,,,
67,0.02527,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02773,,,,,,,,,,,,,,,,,,,,,,,,
69,0.03043,,,,,,,,,,,,,,,,,,,,,,,,
70,0.03348,,,,,,,,,,,,,,,,,,,,,,,,
71,0.03694,,,,,,,,,,,,,,,,,,,,,,,,
72,0.04076,,,,,,,,,,,,,,,,,,,,,,,,
73,0.04487,,,,,,,,,,,,,,,,,,,,,,,,
74,0.04913,,,,,,,,,,,,,,,,,,,,,,,,
75,0.05341,,,,,,,,,,,,,,,,,,,,,,,,
76,0.05763,,,,,,,,,,,,,,,,,,,,,,,,
77,0.06183,,,,,,,,,,,,,,,,,,,,,,,,
78,0.06612,,,,,,,,,,,,,,,,,,,,,,,,
