Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0008,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
33,0.001,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00116,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00127,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00137,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0015,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00169,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0019,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00214,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00236,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00257,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00273,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00285,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00304,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00323,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00345,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00369,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00397,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00429,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00465,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00506,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00551,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00602,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00661,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00727,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00803,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00889,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00988,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01102,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01231,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01375,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01531,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01706,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01892,,,,,,,,,,,,,,,,,,,,,,,,
67,0.02088,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02294,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02518,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02768,,,,,,,,,,,,,,,,,,,,,,,,
71,0.03053,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03375,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03726,,,,,,,,,,,,,,,,,,,,,,,,
74,0.04097,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04476,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04852,,,,,,,,,,,,,,,,,,,,,,,,
77,0.05223,,,,,,,,,,,,,,,,,,,,,,,,
78,0.05594,,,,,,,,,,,,,,,,,,,,,,,,
79,0.05985,,,,,,,,,,,,,,,,,,,,,,,,
80,0.06403,,,,,,,,,,,,,,,,,,,,,,,,
81,0.06866,,,,,,,,,,,,,,,,,,,,,,,,
82,0.07339,,,,,,,,,,,,,,,,,,,,,,,,
83,0.08055,,,,,,,,,,,,,,,,,,,,,,,,
84,0.08864,,,,,,,,,,,,,,,,,,,,,,,,
85,0.09784,,,,,,,,,,,,,,,,,,,,,,,,
86,0.10828,,,,,,,,,,,,,,,,,,,,,,,,
87,0.1199,,,,,,,,,,,,,,,,,,,,,,,,
