Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
92,0.07639,0.13636,0.24299,0.2541,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958
93,0.09358,0.18757,0.2541,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348
94,0.12479,0.21763,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977
95,0.17419,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977,0.94856

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Smoker, Residual Standard, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00094,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0011,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00114,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00117,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00116,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00111,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00111,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00123,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00132,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00142,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00152,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00167,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0018,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00196,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00221,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0025,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0028,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00309,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00337,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00357,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00373,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00396,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00421,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00449,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0048,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00515,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00556,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00601,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00651,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00707,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0077,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00842,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00922,,,,,,,,,,,,,,,,,,,,,,,,
58,0.01014,,,,,,,,,,,,,,,,,,,,,,,,
59,0.01118,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01237,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01372,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01526,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01697,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01881,,,,,,,,,,,,,,,,,,,,,,,,
65,0.02088,,,,,,,,,,,,,,,,,,,,,,,,
66,0.02306,,,,,,,,,,,,,,,,,,,,,,,,
67,0.02535,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02776,,,,,,,,,,,,,,,,,,,,,,,,
69,0.03039,,,,,,,,,,,,,,,,,,,,,,,,
70,0.03331,,,,,,,,,,,,,,,,,,,,,,,,
71,0.03665,,,,,,,,,,,,,,,,,,,,,,,,
72,0.04041,,,,,,,,,,,,,,,,,,,,,,,,
73,0.04453,,,,,,,,,,,,,,,,,,,,,,,,
74,0.04886,,,,,,,,,,,,,,,,,,,,,,,,
75,0.05326,,,,,,,,,,,,,,,,,,,,,,,,
76,0.05761,,,,,,,,,,,,,,,,,,,,,,,,
77,0.06187,,,,,,,,,,,,,,,,,,,,,,,,
