Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
89,0.01326,0.03073,0.05219,0.08303,0.13065,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5
90,0.01466,0.03643,0.06864,0.1145,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5
91,0.01874,0.04797,0.10572,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5
92,0.0273,0.07372,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5
93,0.04172,0.10952,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5
94,0.06325,0.13279,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.09379,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Smoker Distinct Table - Female, Non-Smoker, Age Nearest Birthday, Ultimate",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00029,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00031,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00036,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0004,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00046,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00092,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00109,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00117,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00128,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00142,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0016,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0018,,,,,,,,,,,,,,,,,,,,,,,,
55,0.002,,,,,,,,,,,,,,,,,,,,,,,,
56,0.0022,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00239,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00259,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00279,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00303,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0033,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00362,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00398,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00439,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00483,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0053,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00581,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00637,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00699,,,,,,,,,,,,,,,,,,,,,,,,
70,0.00773,,,,,,,,,,,,,,,,,,,,,,,,
71,0.0086,,,,,,,,,,,,,,,,,,,,,,,,
72,0.00963,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01082,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01222,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01384,,,,,,,,,,,,,,,,,,,,,,,,
76,0.01568,,,,,,,,,,,,,,,,,,,,,,,,
77,0.01782,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02032,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0233,,,,,,,,,,,,,,,,,,,,,,,,
80,0.02691,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03106,,,,,,,,,,,,,,,,,,,,,,,,
82,0.03515,,,,,,,,,,,,,,,,,,,,,,,,
83,0.03961,,,,,,,,,,,,,,,,,,,,,,,,
84,0.04497,,,,,,,,,,,,,,,,,,,,,,,,
85,0.05319,,,,,,,,,,,,,,,,,,,,,,,,
